txn_id,txn_date,security_id,txn_type,quantity,price,amount,account_id
1053,2025-03-14,AAPL,BUY,1770,176.9559,313211.94,ACC-003
1054,2025-03-14,T-2028,DIVIDEND,2040,95.56,194942.4,ACC-004
1055,2025-03-17,MSFT,SELL,3930,415.691,-1633665.63,ACC-003
1056,2025-03-17,JPM,SELL,4090,201.0204,-822173.44,ACC-001
1057,2025-03-17,AAPL,COUPON,1120,180.3166,201954.59,ACC-005
1058,2025-03-17,GS,BUY,2520,400.7772,1009958.54,ACC-005
1059,2025-03-17,JPM,SELL,1410,199.8878,-281841.8,ACC-002
1060,2025-03-18,QQQ,COUPON,3770,443.7089,1672782.55,ACC-002
1061,2025-03-18,T-2026,BUY,230,99.7674,22946.5,ACC-005
1062,2025-03-18,CORP-A,BUY,3760,100.3337,377254.71,ACC-005
1063,2025-03-18,JPM,BUY,4050,197.1196,798334.38,ACC-005
1064,2025-03-18,MSFT,DIVIDEND,2990,418.7205,1251974.3,ACC-003
1065,2025-03-18,SPY,SELL,1990,516.6318,-1028097.28,ACC-003
1066,2025-03-18,AAPL,DIVIDEND,4310,178.4475,769108.72,ACC-004
1067,2025-03-19,CORP-B,SELL,2320,98.8304,-229286.53,ACC-005
1068,2025-03-19,T-2026,SELL,4800,98.6128,-473341.44,ACC-004
1069,2025-03-19,CORP-B,SELL,3840,100.0769,-384295.3,ACC-003
1070,2025-03-19,JPM,DIVIDEND,540,196.9848,106371.79,ACC-004
1071,2025-03-19,JPM,DIVIDEND,3010,198.9564,598858.76,ACC-004
1072,2025-03-20,AAPL,SELL,1760,176.7963,-311161.49,ACC-002
1073,2025-03-20,T-2028,DIVIDEND,1840,95.5641,175837.94,ACC-005
1074,2025-03-20,T-2026,SELL,2740,99.824,-273517.76,ACC-001
1075,2025-03-20,JPM,SELL,2600,198.6282,-516433.32,ACC-002
1076,2025-03-20,CORP-B,SELL,2610,99.6448,-260072.93,ACC-001
